Epoch,Train_Loss,Val_Loss,Learning_Rate,Accuracy,F1,Training_Time_Sec
1,3.54368,0.94922,2e-05,0.7332,0.7332,70.16
2,0.42397,0.05901,1.7777777777777777e-05,0.9846,0.9846,70.69
3,0.23189,0.0076,1.555555555555556e-05,0.9985,0.9985,81.77
4,0.01392,0.00466,1.3333333333333333e-05,0.9985,0.9985,94.36
5,0.00711,0.00163,1.1111111111111113e-05,0.9998,0.9998,68.44
6,0.00392,0.00116,8.888888888888888e-06,0.9998,0.9998,67.86
7,0.00361,0.00103,6.666666666666667e-06,0.9998,0.9998,67.13
8,0.0028,0.00097,4.444444444444444e-06,0.9998,0.9998,89.34
9,0.00255,0.00091,2.222222222222222e-06,0.9998,0.9998,80.3
10,0.00189,0.0009,0.0,0.9998,0.9998,78.89
